SECTION 1 - INDUSTRY PAGES (5),,,
1,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-arabic-page,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
2,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-at-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
3,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-at-finanshels-arabic-page,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
4,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-at-finanshels-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
5,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-by-finanshels-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
6,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-bahrain-businesses-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
7,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-bahrain-businesses-finanshels-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
8,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-kuwait-businesses-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
9,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-kuwait-businesses-finanshels-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
10,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-oman-businesses-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
11,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-oman-businesses-finanshels-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
12,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-qatar-businesses-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
13,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-qatar-businesses-finanshels-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
14,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-for-saudi-businesses-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
15,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
16,https://finanshels.com/landing-pages/accounting-and-bookkeeping-service-with-finanshels-copy,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
17,https://finanshels.com/landing-pages/accounting-firm-trusted-by-5000-uae-businesses,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
18,https://finanshels.com/landing-pages/aml-compliance-filing-in-uae-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
19,https://finanshels.com/landing-pages/aml-webinar,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
20,https://finanshels.com/landing-pages/are-uae-realtors-really-prepared-for-increased-aml-scrutiny,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
21,https://finanshels.com/landing-pages/audit-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
22,https://finanshels.com/landing-pages/audits-by-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
23,https://finanshels.com/landing-pages/bookkeeping-service-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
24,https://finanshels.com/landing-pages/claim-your-free-consultation,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
25,https://finanshels.com/landing-pages/company-liquidation-services-in-uae-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
26,https://finanshels.com/landing-pages/corporate-tax-filing-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
27,https://finanshels.com/landing-pages/corporate-tax-filing-with-finanshels-bing,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
28,https://finanshels.com/landing-pages/corporate-tax-registration-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
29,https://finanshels.com/landing-pages/ct-filing-offer-for-dfhq-founders,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
30,https://finanshels.com/landing-pages/filed-your-corporate-tax-return-think-twice,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
31,https://finanshels.com/landing-pages/finanshels-corporate-tax-registration-in-the-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
32,https://finanshels.com/landing-pages/finanshels-top-choice-for-uae-businesses-looking-for-taxation-and-compliances,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
33,https://finanshels.com/landing-pages/free-corporate-tax-registration-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
34,https://finanshels.com/landing-pages/goaml-registration-services-in-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
35,https://finanshels.com/landing-pages/most-uae-founders-are-about-to-get-blindsided-by-their-own-invoices,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
36,https://finanshels.com/landing-pages/online-taxes-and-bookkeeping-services-from-aed-199-in-the-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
37,https://finanshels.com/landing-pages/sef-attendee-offer,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
38,https://finanshels.com/landing-pages/step-attendee-offer,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
39,https://finanshels.com/landing-pages/tax-consultation-with-gautam,"Add meta robots: noindex, nofollow (keep page live for ads)","BLOCKED - a redirect rule sends this URL to /landing-pages/free-financial-model-assessment, which is 404. The page itself is still published + noindexed. Fix: delete that redirect rule in Webflow Site Settings > Publishing > 301 Redirects (or publish the target page)."
40,https://finanshels.com/landing-pages/uaes-top-accountants-handle-your-books,"Add meta robots: noindex, nofollow (keep page live for ads)","STAGED - noindex toggle already live; the 'noindex, nofollow' custom head tag was added on 24 Aug and goes live on the next site publish."
41,https://finanshels.com/landing-pages/vat-filing-for-your-business-desk,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
42,https://finanshels.com/landing-pages/vat-filing-services-for-your-business,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
43,https://finanshels.com/landing-pages/vat-registration-service-in-uae,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
44,https://finanshels.com/landing-pages/vat-registration-with-finanshels,"Add meta robots: noindex, nofollow (keep page live for ads)","DONE - live (HTTP 200), noindex + nofollow meta present (verified 24 Aug 2026)"
,,,
SECTION 4 - TASKS SUMMARY,,,
Task,Mechanism,Notes,Status (24 Aug 2026)
Industry & location page redirects,Webflow > Site Settings > Publishing > 301 Redirects,"Add old path > pillar path, then unpublish the old page.","DONE - all 34 redirect rules live, all 34 pages set to draft. Verified by live HTTP checks: 34/34 single-hop 301s to the correct pillar."
Noindex the 44 paid landing pages,"Per page: 'Disable search-engine indexing' + noindex,nofollow custom head code",robots.txt does NOT noindex - it only blocks crawl. Use the meta robots tag.,DONE (43/44 verified live; 1 staged) - see Section 3 rows for tax-consultation-with-gautam and uaes-top-accountants-handle-your-books.
Do NOT block landing pages in robots.txt,-,"If you both noindex AND robots.txt-disallow, Google can't read the noindex tag.",VERIFIED - robots.txt does not disallow /landing-pages/; pages remain crawlable so the noindex is readable.
Optional: remove landing pages from sitemap,-,Reduces discovery; not a substitute for noindex.,"NO ACTION NEEDED - sitemap.xml (751 URLs) already contains zero /landing-pages/, /locations/, or pruned /services/ URLs."
